District,Date,SoilMoisture
Krishnagiri,2020,21.24
Krishnagiri,2021,18.6
Krishnagiri,2022,19.42
Krishnagiri,2023,14.94
Madurai,2018,24.33
Madurai,2019,20.59
Madurai,2020,24.11
Madurai,2021,22.71
Madurai,2022,22.52
Madurai,2023,19.79
Nagapattinam,2018,17.86
Nagapattinam,2019,14.5
Nagapattinam,2020,18.34
Nagapattinam,2021,16.78
Nagapattinam,2022,17.82
Nagapattinam,2023,16.46
Namakkal,2018,20.72
Namakkal,2019,16.64
Namakkal,2020,20.07
Namakkal,2021,18.71
Namakkal,2022,18.69
Namakkal,2023,13.43
Perambalur,2018,21.02
Perambalur,2019,16.93
Perambalur,2020,23.46
Perambalur,2021,22.77
Perambalur,2022,22.39
Perambalur,2023,19.97
Pudukkottai,2018,18.66
Pudukkottai,2019,15.5
Pudukkottai,2020,17.93
Pudukkottai,2021,14.84
Pudukkottai,2022,15.13
Pudukkottai,2023,12.28
Ramanathapuram,2018,17.76
Ramanathapuram,2019,12.85
Ramanathapuram,2020,17.01
Ramanathapuram,2021,14.29
Ramanathapuram,2022,13.92
Ramanathapuram,2023,13.35
Ranipet,2018,22.65
Ranipet,2019,17.58
Ranipet,2020,23.01
Ranipet,2021,21.45
Ranipet,2022,21.73
Ranipet,2023,17.39
Salem,2018,21.25
Salem,2019,18.44
Salem,2020,21.34
Salem,2021,19.79
Salem,2022,19.55
Salem,2023,15.65
Sivaganga,2018,18.94
Sivaganga,2019,15.61
Sivaganga,2020,20.34
Sivaganga,2021,18.6
Sivaganga,2022,18.54
Sivaganga,2023,15.41
Tenkasi,2018,22.98
Tenkasi,2019,20.59
Tenkasi,2020,20.92
Tenkasi,2021,21.87
Tenkasi,2022,20.64
Tenkasi,2023,18.26
Thanjavur,2018,18.62
Thanjavur,2019,15.7
Thanjavur,2020,20.44
Thanjavur,2021,18.92
Thanjavur,2022,19.87
Thanjavur,2023,18.36
Theni,2018,27.21
Theni,2019,24.77
Theni,2020,26.35
Theni,2021,26.04
Theni,2022,25.19
Theni,2023,20.63
The Nilgiris,2018,25.62
The Nilgiris,2019,23.92
The Nilgiris,2020,24.12
The Nilgiris,2021,24.07
The Nilgiris,2022,23.77
The Nilgiris,2023,19.66
Thiruvallur,2018,20.71
Thiruvallur,2019,15.67
Thiruvallur,2020,21.81
Thiruvallur,2021,18.9
Thiruvallur,2022,19.03
Thiruvallur,2023,14.93
Thiruvarur,2018,20.12
Thiruvarur,2019,16.73
Thiruvarur,2020,22.37
Thiruvarur,2021,21.2
Thiruvarur,2022,22.39
Thiruvarur,2023,21.35
Tiruchirappalli,2018,17.9
Tiruchirappalli,2019,14.64
Tiruchirappalli,2020,18.58
Tiruchirappalli,2021,16.49
Tiruchirappalli,2022,16.12
Tiruchirappalli,2023,13.35
Tirunelveli,2018,21.56
Tirunelveli,2019,18.06
Tirunelveli,2020,16.9
Tirunelveli,2021,17.36
Tirunelveli,2022,16.8
Tirunelveli,2023,15.28
Tirupathur,2018,18.55
Tirupathur,2019,16.06
Tirupathur,2020,19.97
Tirupathur,2021,17.32
Tirupathur,2022,17.82
Tirupathur,2023,14.11
Tiruppur,2018,20.97
Tiruppur,2019,17.51
Tiruppur,2020,20.66
Tiruppur,2021,18.82
Tiruppur,2022,18.04
Tiruppur,2023,14.09
Tiruvannamalai,2018,25.65
Tiruvannamalai,2019,20.51
Tiruvannamalai,2020,26.04
Tiruvannamalai,2021,24.25
Tiruvannamalai,2022,24.12
Tiruvannamalai,2023,19.99
Tuticorin,2018,21.05
Tuticorin,2019,17.59
Tuticorin,2020,19.7
Tuticorin,2021,18.65
Tuticorin,2022,18.28
Tuticorin,2023,16.93
Vellore,2018,19.5
Vellore,2019,16.4
Vellore,2020,19.6
Vellore,2021,17.68
Vellore,2022,17.29
Vellore,2023,14.24
Villupuram,2018,24.31
Villupuram,2019,18.56
Villupuram,2020,25.35
Villupuram,2021,23.27
Villupuram,2022,22.59
Villupuram,2023,19.32
Virudhunagar,2018,23.25
Virudhunagar,2019,19.91
Virudhunagar,2020,24.52
Virudhunagar,2021,23.43
Virudhunagar,2022,23.51
Virudhunagar,2023,20.51
Virudhunagar,2019,19.91
Virudhunagar,2020,24.52
Virudhunagar,2021,23.43
Virudhunagar,2022,23.51
Virudhunagar,2023,20.51
